t,fecha,def_pib
1955.00,1955-01-01,-1.164201
1955.25,1955-04-01,-1.707581
1955.50,1955-07-01,-1.687272
1955.75,1955-10-01,-2.320564
1956.00,1956-01-01,-2.407754
1956.25,1956-04-01,-2.104213
1956.50,1956-07-01,-2.243174
1956.75,1956-10-01,-2.369354
1957.00,1957-01-01,-2.089706
1957.25,1957-04-01,-1.743128
1957.50,1957-07-01,-1.749150
1957.75,1957-10-01,-0.559950
1958.00,1958-01-01,0.065449
1958.25,1958-04-01,1.092000
1958.50,1958-07-01,0.498723
1958.75,1958-10-01,0.034631
1959.00,1959-01-01,-1.325025
1959.25,1959-04-01,-1.744178
1959.50,1959-07-01,-1.380101
1959.75,1959-10-01,-1.326523
1960.00,1960-01-01,-3.205393
1960.25,1960-04-01,-2.584091
1960.50,1960-07-01,-2.197748
1960.75,1960-10-01,-1.380978
1961.00,1961-01-01,-1.397202
1961.25,1961-04-01,-1.069580
1961.50,1961-07-01,-1.357141
1961.75,1961-10-01,-1.681846
1962.00,1962-01-01,-1.285157
1962.25,1962-04-01,-1.266061
1962.50,1962-07-01,-1.453466
1962.75,1962-10-01,-1.383191
1963.00,1963-01-01,-1.716983
1963.25,1963-04-01,-2.109561
1963.50,1963-07-01,-2.017553
1963.75,1963-10-01,-1.937645
1964.00,1964-01-01,-1.460836
1964.25,1964-04-01,-0.795522
1964.50,1964-07-01,-1.313091
1964.75,1964-10-01,-1.610597
1965.00,1965-01-01,-2.132379
1965.25,1965-04-01,-1.995231
1965.50,1965-07-01,-0.987425
1965.75,1965-10-01,-1.014696
1966.00,1966-01-01,-1.686619
1966.25,1966-04-01,-1.542645
1966.50,1966-07-01,-1.299110
1966.75,1966-10-01,-1.038639
1967.00,1967-01-01,-0.007818
1967.25,1967-04-01,0.145704
1967.50,1967-07-01,-0.081943
1967.75,1967-10-01,-0.084634
1968.00,1968-01-01,-0.418084
1968.25,1968-04-01,-0.320225
1968.50,1968-07-01,-1.262272
1968.75,1968-10-01,-1.384565
1969.00,1969-01-01,-2.566098
1969.25,1969-04-01,-2.244455
1969.50,1969-07-01,-1.613467
1969.75,1969-10-01,-1.400765
1970.00,1970-01-01,-0.619768
1970.25,1970-04-01,0.247523
1970.50,1970-07-01,0.745079
1970.75,1970-10-01,1.190787
1971.00,1971-01-01,1.209525
1971.25,1971-04-01,1.806064
1971.50,1971-07-01,1.653512
1971.75,1971-10-01,1.763257
1972.00,1972-01-01,1.006737
1972.25,1972-04-01,1.349449
1972.50,1972-07-01,0.486686
1972.75,1972-10-01,1.713141
1973.00,1973-01-01,0.217207
1973.25,1973-04-01,0.113870
1973.50,1973-07-01,-0.248773
1973.75,1973-10-01,-0.508234
1974.00,1974-01-01,-0.441119
1974.25,1974-04-01,-0.370836
1974.50,1974-07-01,-0.525760
1974.75,1974-10-01,0.528231
1975.00,1975-01-01,1.846464
1975.25,1975-04-01,5.182907
1975.50,1975-07-01,2.474646
1975.75,1975-10-01,2.337738
1976.00,1976-01-01,1.649449
1976.25,1976-04-01,1.286055
1976.50,1976-07-01,1.416018
1976.75,1976-10-01,1.450416
1977.00,1977-01-01,0.860886
1977.25,1977-04-01,0.465488
1977.50,1977-07-01,0.717215
1977.75,1977-10-01,0.645668
1978.00,1978-01-01,0.646825
1978.25,1978-04-01,-0.332214
1978.50,1978-07-01,-0.724368
1978.75,1978-10-01,-1.119967
1979.00,1979-01-01,-1.340531
1979.25,1979-04-01,-1.490132
1979.50,1979-07-01,-1.288516
1979.75,1979-10-01,-1.208128
1980.00,1980-01-01,-0.928834
1980.25,1980-04-01,-0.113035
1980.50,1980-07-01,0.272013
1980.75,1980-10-01,-0.285106
1981.00,1981-01-01,-1.223863
1981.25,1981-04-01,-1.158470
1981.50,1981-07-01,-1.034837
1981.75,1981-10-01,-0.412458
1982.00,1982-01-01,0.231072
1982.25,1982-04-01,0.314739
1982.50,1982-07-01,1.245454
1982.75,1982-10-01,2.117758
1983.00,1983-01-01,1.998582
1983.25,1983-04-01,1.674701
1983.50,1983-07-01,1.905871
1983.75,1983-10-01,1.123091
1984.00,1984-01-01,0.541958
1984.25,1984-04-01,0.641435
1984.50,1984-07-01,0.581135
1984.75,1984-10-01,0.753733
1985.00,1985-01-01,-0.316701
1985.25,1985-04-01,0.765445
1985.50,1985-07-01,0.288481
1985.75,1985-10-01,0.274184
1986.00,1986-01-01,0.281018
1986.25,1986-04-01,0.710354
1986.50,1986-07-01,0.827273
1986.75,1986-10-01,-0.016382
1987.00,1987-01-01,-0.062493
1987.25,1987-04-01,-1.232002
1987.50,1987-07-01,-1.074755
1987.75,1987-10-01,-1.021068
1988.00,1988-01-01,-0.914461
1988.25,1988-04-01,-1.161765
1988.50,1988-07-01,-1.328453
1988.75,1988-10-01,-1.210943
