t,fecha,pai,ff
1955.00,1955-01-01,1.868127,1.340000
1955.25,1955-04-01,1.654186,1.500000
1955.50,1955-07-01,2.804000,1.940000
1955.75,1955-10-01,3.961882,2.360000
1956.00,1956-01-01,3.996458,2.480000
1956.25,1956-04-01,2.371924,2.690000
1956.50,1956-07-01,5.009840,2.810000
1956.75,1956-10-01,1.609880,2.930000
1957.00,1957-01-01,5.496461,2.930000
1957.25,1957-04-01,2.795075,3.000000
1957.50,1957-07-01,2.382898,3.230000
1957.75,1957-10-01,0.281970,3.250000
1958.00,1958-01-01,4.326583,1.860000
1958.25,1958-04-01,1.161668,0.940000
1958.50,1958-07-01,2.439969,1.320000
1958.75,1958-10-01,1.893737,2.160000
1959.00,1959-01-01,0.936095,2.570000
1959.25,1959-04-01,0.630897,3.080000
1959.50,1959-07-01,1.542259,3.580000
1959.75,1959-10-01,1.572373,3.990000
1960.00,1960-01-01,1.599860,3.930000
1960.25,1960-04-01,1.003015,3.700000
1960.50,1960-07-01,1.377946,2.940000
1960.75,1960-10-01,1.183665,2.300000
1961.00,1961-01-01,0.863905,2.000000
1961.25,1961-04-01,0.918962,1.730000
1961.50,1961-07-01,1.024705,1.680000
1961.75,1961-10-01,1.252459,2.400000
1962.00,1962-01-01,2.060915,2.460000
1962.25,1962-04-01,0.653094,2.610000
1962.50,1962-07-01,0.841862,2.850000
1962.75,1962-10-01,0.816227,2.920000
1963.00,1963-01-01,1.748300,2.970000
1963.25,1963-04-01,0.701354,2.960000
1963.50,1963-07-01,0.525058,3.330000
1963.75,1963-10-01,3.247909,3.450000
1964.00,1964-01-01,1.254596,3.460000
1964.25,1964-04-01,0.919889,3.490000
1964.50,1964-07-01,1.597048,3.460000
1964.75,1964-10-01,1.814137,3.580000
1965.00,1965-01-01,2.014312,3.980000
1965.25,1965-04-01,1.833606,4.080000
1965.50,1965-07-01,1.553370,4.080000
1965.75,1965-10-01,2.750027,4.170000
1966.00,1966-01-01,2.575764,4.560000
1966.25,1966-04-01,3.271235,4.910000
1966.50,1966-07-01,3.863109,5.410000
1966.75,1966-10-01,3.359137,5.560000
1967.00,1967-01-01,1.658968,4.820000
1967.25,1967-04-01,2.033930,3.990000
1967.50,1967-07-01,3.835627,3.890000
1967.75,1967-10-01,4.443178,4.170000
1968.00,1968-01-01,4.435364,4.790000
1968.25,1968-04-01,4.225432,5.980000
1968.50,1968-07-01,3.927155,5.950000
1968.75,1968-10-01,5.644658,5.920000
1969.00,1969-01-01,4.134707,6.570000
1969.25,1969-04-01,5.086433,8.330000
1969.50,1969-07-01,5.622622,8.980000
1969.75,1969-10-01,5.159130,8.940000
1970.00,1970-01-01,5.633300,8.570000
1970.25,1970-04-01,5.580089,7.890000
1970.50,1970-07-01,3.285704,6.710000
1970.75,1970-10-01,5.281697,5.570000
1971.00,1971-01-01,6.074099,3.860000
1971.25,1971-04-01,5.248734,4.570000
1971.50,1971-07-01,4.081140,5.480000
1971.75,1971-10-01,3.339789,4.750000
1972.00,1972-01-01,6.086191,3.550000
1972.25,1972-04-01,2.489861,4.300000
1972.50,1972-07-01,3.830433,4.740000
1972.75,1972-10-01,5.099409,5.150000
1973.00,1973-01-01,4.610508,6.540000
1973.25,1973-04-01,6.147178,7.820000
1973.50,1973-07-01,7.788607,10.560000
1973.75,1973-10-01,7.970044,10.000000
1974.00,1974-01-01,7.546266,9.320000
1974.25,1974-04-01,9.447026,11.250000
1974.50,1974-07-01,11.726969,12.090000
1974.75,1974-10-01,11.766592,9.350000
1975.00,1975-01-01,9.091311,6.300000
1975.25,1975-04-01,5.943871,5.420000
1975.50,1975-07-01,7.067662,6.160000
1975.75,1975-10-01,6.689116,5.410000
1976.00,1976-01-01,4.224163,4.830000
1976.25,1976-04-01,4.033949,5.200000
1976.50,1976-07-01,5.172952,5.280000
1976.75,1976-10-01,7.174579,4.870000
1977.00,1977-01-01,6.423406,4.660000
1977.25,1977-04-01,5.651548,5.160000
1977.50,1977-07-01,4.872013,5.820000
1977.75,1977-10-01,8.639029,6.510000
1978.00,1978-01-01,5.815745,6.760000
1978.25,1978-04-01,7.647448,7.280000
1978.50,1978-07-01,6.788657,8.100000
1978.75,1978-10-01,8.190928,9.580000
1979.00,1979-01-01,7.288240,10.070000
1979.25,1979-04-01,9.795562,10.180000
1979.50,1979-07-01,8.744717,10.950000
1979.75,1979-10-01,7.426106,13.580000
1980.00,1980-01-01,8.401313,15.050000
1980.25,1980-04-01,9.514544,12.690000
1980.50,1980-07-01,8.941328,9.840000
1980.75,1980-10-01,10.420507,15.850000
1981.00,1981-01-01,10.531911,16.570000
1981.25,1981-04-01,7.930045,17.780000
1981.50,1981-07-01,7.524753,17.580000
1981.75,1981-10-01,6.912878,13.590000
1982.00,1982-01-01,5.505681,14.230000
1982.25,1982-04-01,5.196751,14.510000
1982.50,1982-07-01,5.674443,11.010000
1982.75,1982-10-01,4.144371,9.290000
1983.00,1983-01-01,3.018319,8.650000
1983.25,1983-04-01,2.972233,8.800000
1983.50,1983-07-01,4.250667,9.460000
1983.75,1983-10-01,3.033766,9.430000
1984.00,1984-01-01,4.049690,9.690000
1984.25,1984-04-01,3.423418,10.560000
1984.50,1984-07-01,3.556698,11.390000
1984.75,1984-10-01,2.989828,9.270000
1985.00,1985-01-01,3.955204,8.480000
1985.25,1985-04-01,2.575189,7.920000
1985.50,1985-07-01,2.411790,7.900000
1985.75,1985-10-01,2.236290,8.100000
1986.00,1986-01-01,1.988891,7.830000
1986.25,1986-04-01,1.514699,6.920000
1986.50,1986-07-01,1.642703,6.210000
1986.75,1986-10-01,2.179680,6.270000
1987.00,1987-01-01,2.555455,6.220000
1987.25,1987-04-01,2.773123,6.650000
1987.50,1987-07-01,3.029560,6.840000
1987.75,1987-10-01,3.185986,6.920000
1988.00,1988-01-01,3.138141,6.660000
1988.25,1988-04-01,3.890886,7.160000
1988.50,1988-07-01,4.780200,7.980000
1988.75,1988-10-01,3.458292,8.470000
1989.00,1989-01-01,4.170121,9.440000
1989.25,1989-04-01,4.260785,9.730000
1989.50,1989-07-01,2.923822,9.080000
1989.75,1989-10-01,2.849565,8.610000
1990.00,1990-01-01,4.313457,8.250000
1990.25,1990-04-01,4.479855,8.240000
1990.50,1990-07-01,3.428554,8.160000
1990.75,1990-10-01,2.978272,7.740000
1991.00,1991-01-01,3.918164,6.430000
1991.25,1991-04-01,2.934999,5.860000
1991.50,1991-07-01,3.125284,5.640000
1991.75,1991-10-01,2.374765,4.820000
1992.00,1992-01-01,1.486521,4.020000
1992.25,1992-04-01,2.404545,3.770000
1992.50,1992-07-01,1.955084,3.260000
1992.75,1992-10-01,2.753916,3.040000
1993.00,1993-01-01,2.241666,3.040000
1993.25,1993-04-01,2.381753,3.000000
1993.50,1993-07-01,2.377856,3.060000
1993.75,1993-10-01,2.180895,2.990000
1994.00,1994-01-01,1.912243,3.210000
1994.25,1994-04-01,1.932808,3.940000
1994.50,1994-07-01,2.292653,4.490000
1994.75,1994-10-01,2.170200,5.170000
1995.00,1995-01-01,2.168004,5.810000
1995.25,1995-04-01,1.922788,6.020000
1995.50,1995-07-01,1.968979,5.800000
1995.75,1995-10-01,1.928110,5.720000
1996.00,1996-01-01,1.923758,5.360000
1996.25,1996-04-01,1.656578,5.240000
1996.50,1996-07-01,1.308380,5.310000
1996.75,1996-10-01,2.138743,5.280000
1997.00,1997-01-01,2.385246,5.280000
1997.25,1997-04-01,0.795754,5.520000
1997.50,1997-07-01,1.745334,5.530000
1997.75,1997-10-01,1.333011,5.510000
1998.00,1998-01-01,0.568560,5.520000
1998.25,1998-04-01,0.945094,5.500000
1998.50,1998-07-01,1.694438,5.530000
1998.75,1998-10-01,1.127232,4.860000
1999.00,1999-01-01,1.295347,4.730000
1999.25,1999-04-01,1.515858,4.750000
1999.50,1999-07-01,1.413500,5.090000
1999.75,1999-10-01,2.218980,5.310000
2000.00,2000-01-01,2.660719,5.680000
2000.25,2000-04-01,2.489017,6.270000
2000.50,2000-07-01,2.339570,6.520000
2000.75,2000-10-01,2.157102,6.470000
2001.00,2001-01-01,2.641735,5.590000
2001.25,2001-04-01,2.406393,4.330000
2001.50,2001-07-01,1.571870,3.500000
2001.75,2001-10-01,1.254307,2.130000
2002.00,2002-01-01,1.260519,1.730000
2002.25,2002-04-01,1.396877,1.750000
2002.50,2002-07-01,1.914474,1.740000
2002.75,2002-10-01,2.321091,1.440000
2003.00,2003-01-01,1.958395,1.250000
2003.25,2003-04-01,1.407830,1.250000
2003.50,2003-07-01,2.286742,1.020000
2003.75,2003-10-01,2.437694,1.000000
2004.00,2004-01-01,2.855170,1.000000
2004.25,2004-04-01,3.227969,1.010000
2004.50,2004-07-01,2.538187,1.430000
2004.75,2004-10-01,3.100907,1.950000
2005.00,2005-01-01,3.192743,2.470000
2005.25,2005-04-01,2.883053,2.940000
2005.50,2005-07-01,3.645482,3.460000
2005.75,2005-10-01,3.285572,3.980000
2006.00,2006-01-01,2.834660,4.460000
2006.25,2006-04-01,3.493406,4.910000
2006.50,2006-07-01,2.791915,5.250000
2006.75,2006-10-01,1.434364,5.250000
2007.00,2007-01-01,3.802214,5.260000
2007.25,2007-04-01,2.781730,5.250000
2007.50,2007-07-01,2.183640,5.070000
2007.75,2007-10-01,1.622419,4.500000
2008.00,2008-01-01,1.481782,3.180000
2008.25,2008-04-01,1.935801,2.090000
2008.50,2008-07-01,3.012826,1.940000
2008.75,2008-10-01,0.970381,0.510000
2009.00,2009-01-01,-0.319121,0.180000
2009.25,2009-04-01,-0.663238,0.180000
2009.50,2009-07-01,0.475069,0.160000
2009.75,2009-10-01,1.264960,0.120000
2010.00,2010-01-01,1.151335,0.130000
2010.25,2010-04-01,1.951308,0.190000
2010.50,2010-07-01,1.216346,0.190000
2010.75,2010-10-01,2.321955,0.190000
2011.00,2011-01-01,2.050364,0.160000
2011.25,2011-04-01,2.645713,0.090000
2011.50,2011-07-01,2.407404,0.080000
2011.75,2011-10-01,0.476455,0.070000
2012.00,2012-01-01,2.346006,0.100000
2012.25,2012-04-01,1.650240,0.150000
2012.50,2012-07-01,2.195458,0.140000
2012.75,2012-10-01,2.007686,0.160000
2013.00,2013-01-01,1.586563,0.140000
2013.25,2013-04-01,0.861246,0.120000
2013.50,2013-07-01,1.961318,0.080000
2013.75,2013-10-01,2.114121,0.090000
2014.00,2014-01-01,1.518687,0.070000
2014.25,2014-04-01,2.264131,0.090000
2014.50,2014-07-01,1.642317,0.090000
2014.75,2014-10-01,0.398097,0.100000
2015.00,2015-01-01,-0.217902,0.110000
2015.25,2015-04-01,2.296918,0.120000
2015.50,2015-07-01,1.060932,0.140000
2015.75,2015-10-01,-0.009463,0.160000
2016.00,2016-01-01,-0.346008,0.360000
2016.25,2016-04-01,2.717781,0.370000
2016.50,2016-07-01,1.023071,0.400000
2016.75,2016-10-01,1.937496,0.450000
2017.00,2017-01-01,2.038558,0.700000
2017.25,2017-04-01,1.044255,0.950000
2017.50,2017-07-01,2.055411,1.150000
2017.75,2017-10-01,2.461483,1.200000
2018.00,2018-01-01,2.544176,1.450000
2018.25,2018-04-01,2.827298,1.740000
